episode,environment_seed,episode_cost,episode_reward,epsilon,global_step,mean_loss
1,500528862,642330.0,-6423.299999999999,0.9995199176297863,50,
2,333520622,1057755.0,-10577.550000000003,0.999030280090557,100,
3,507086154,673265.0,-6732.65,0.9985408873089029,150,
4,168110799,1260290.0,-12602.9,0.9980517391624756,200,
5,267715292,1077885.0,-10778.850000000002,0.9975628355289883,250,
6,740199699,750500.0,-7504.999999999999,0.9970741762862149,300,
7,631546010,1077987.5,-10779.875,0.9965857613119906,350,
8,337506163,770867.5,-7708.674999999998,0.9960975904842118,400,
9,216338610,721630.0,-7216.300000000002,0.9956096636808357,450,
10,709971644,824515.0,-8245.149999999998,0.9951219807798806,500,
11,593917620,823337.5,-8233.375000000002,0.9946345416594257,550,
12,308884421,1207465.0,-12074.65,0.9941473461976114,600,
13,10896280,672035.0,-6720.350000000002,0.9936603942726385,650,
14,448480427,891985.0,-8919.85,0.9931736857627695,700,
15,695590878,842827.5,-8428.274999999998,0.9926872205463269,750,
16,531039049,988125.0,-9881.249999999998,0.9922009985016946,800,
17,674635656,934672.5,-9346.724999999999,0.9917150195073168,850,
18,931739327,978705.0,-9787.05,0.9912292834416991,900,
19,306367274,791177.5,-7911.774999999999,0.9907437901834073,950,
20,738142870,762832.5,-7628.325,0.990258539611068,1000,
21,689627104,1084885.0,-10848.850000000004,0.9897735316033687,1050,
22,422211820,1037487.5,-10374.875000000002,0.9892887660390575,1100,
23,389749606,676090.0,-6760.900000000001,0.9888042427969427,1150,
24,217192690,915537.5,-9155.375,0.9883199617558937,1200,
25,591311933,838575.0,-8385.75,0.9878359227948401,1250,
26,995292700,665670.0,-6656.700000000002,0.9873521257927723,1300,
27,562277177,979412.5,-9794.125000000002,0.986868570628741,1350,
28,280285083,1107015.0,-11070.15,0.9863852571818573,1400,
29,670714776,1274040.0,-12740.400000000003,0.9859021853312931,1450,
30,493543,1050445.0,-10504.449999999999,0.9854193549562802,1500,
31,963174780,1058625.0,-10586.250000000004,0.984936765936111,1550,
32,720111066,757382.5,-7573.824999999998,0.9844544181501385,1600,
33,917538303,781557.5,-7815.574999999999,0.9839723114777753,1650,
34,822183014,752012.5,-7520.125000000002,0.983490445798495,1700,
35,446365896,1407785.0,-14077.850000000006,0.9830088209918314,1750,
36,754918342,770442.5,-7704.425000000002,0.9825274369373779,1800,
37,797494751,854637.5,-8546.374999999998,0.9820462935147887,1850,
38,376781542,933137.5,-9331.374999999998,0.9815653906037778,1900,
39,452315405,1002372.5,-10023.724999999997,0.9810847280841196,1950,
40,174060495,654530.0,-6545.3,0.9806043058356485,2000,
41,518572620,760270.0,-7602.700000000002,0.9801241237382587,2050,
42,356860105,1171645.0,-11716.450000000003,0.9796441816719051,2100,
43,250547363,1077402.5,-10774.024999999998,0.9791644795166017,2150,
44,944989145,1025917.5,-10259.175,0.9786850171524233,2200,
45,919545272,743885.0,-7438.850000000001,0.9782057944595041,2250,
46,634756784,940942.5,-9409.425000000003,0.9777268113180385,2300,
47,865115790,844480.0,-8444.8,0.9772480676082808,2350,
48,352674337,714295.0,-7142.95,0.9767695632105449,2400,
49,969488702,735277.5,-7352.775,0.9762912980052049,2450,
50,892781399,986270.0,-9862.699999999999,0.9758132718726942,2500,
51,653685381,828532.5,-8285.325,0.9753354846935066,2550,
52,992111686,916067.5,-9160.675000000003,0.9748579363481952,2600,
53,532934043,692865.0,-6928.650000000001,0.9743806267173726,2650,
54,8970633,852442.5,-8524.425000000001,0.9739035556817118,2700,
55,718986208,832560.0,-8325.600000000002,0.973426723121945,2750,
56,691465112,817625.0,-8176.25,0.9729501289188638,2800,
57,389715551,1192890.0,-11928.899999999998,0.9724737729533198,2850,
58,617386650,980975.0,-9809.75,0.971997655106224,2900,
59,901797862,820315.0,-8203.150000000001,0.971521775258547,2950,
60,303920160,942727.5,-9427.275,0.9710461332913188,3000,
61,131584400,854572.5,-8545.725000000002,0.9705707290856288,3050,
62,206226284,814482.5,-8144.825000000002,0.970095562522626,3100,
63,542797064,1149582.5,-11495.824999999997,0.9696206334835189,3150,
64,269227358,810772.5,-8107.725,0.969145941849575,3200,
65,137092471,657615.0,-6576.150000000002,0.9686714875021215,3250,
66,432210812,787817.5,-7878.174999999998,0.9681972703225449,3300,
67,875615176,1075377.5,-10753.775,0.9677232901922908,3350,
68,953990400,1382842.5,-13828.425000000001,0.9672495469928641,3400,
69,84779782,628415.0,-6284.149999999999,0.9667760406058292,3450,
70,368921230,826220.0,-8262.2,0.9663027709128094,3500,
71,758833912,960335.0,-9603.349999999997,0.9658297377954871,3550,
72,763275031,823895.0,-8238.95,0.9653569411356042,3600,
73,533767360,770930.0,-7709.3,0.9648843808149615,3650,
74,239632222,1132250.0,-11322.499999999998,0.9644120567154191,3700,
75,435992690,845482.5,-8454.825,0.9639399687188956,3750,
76,640486557,1222085.0,-12220.85,0.9634681167073693,3800,
77,750851946,956697.5,-9566.974999999997,0.9629965005628771,3850,
78,356270511,838750.0,-8387.500000000004,0.962525120167515,3900,
79,311212695,1018552.5,-10185.524999999996,0.9620539754034377,3950,
80,771520284,994052.5,-9940.524999999996,0.9615830661528593,4000,
81,105807960,947200.0,-9472.0,0.9611123922980522,4050,
82,127756582,711515.0,-7115.149999999998,0.9606419537213482,4100,
83,542651579,911155.0,-9111.55,0.9601717503051376,4150,
84,635650215,782645.0,-7826.449999999999,0.9597017819318693,4200,
85,170243777,948482.5,-9484.824999999999,0.9592320484840514,4250,
86,782835170,789065.0,-7890.649999999999,0.9587625498442506,4300,
87,599199760,868175.0,-8681.75,0.958293285895092,4350,
88,234783097,962502.5,-9625.025000000001,0.9578242565192598,4400,
89,340218380,709022.5,-7090.2249999999985,0.9573554615994967,4450,
90,79487540,998280.0,-9982.799999999997,0.956886901018604,4500,
91,893344552,908622.5,-9086.225,0.9564185746594411,4550,
92,645724015,836515.0,-8365.150000000001,0.955950482404927,4600,
93,503743082,824477.5,-8244.775,0.9554826241380383,4650,
94,485279315,895315.0,-8953.149999999998,0.9550149997418106,4700,
95,790833694,830972.5,-8309.725,0.9545476090993376,4750,
96,941830565,982800.0,-9828.0,0.9540804520937717,4800,
97,936184574,1116782.5,-11167.824999999997,0.9536135286083238,4850,
98,327184627,1111132.5,-11111.324999999997,0.9531468385262628,4900,
99,250076510,735225.0,-7352.249999999999,0.9526803817309163,4950,
100,649701655,1181212.5,-11812.125,0.9522141581056703,5000,1.4569264650344849
101,921234126,642572.5,-6425.725000000001,0.9517481675339685,5050,1.3445439529418945
102,459339472,835925.0,-8359.249999999998,0.9512824098993135,5100,1.2595842003822326
103,367058149,999547.5,-9995.475000000002,0.9508168850852657,5150,1.1085960936546326
104,529356838,1023512.5,-10235.125000000002,0.9503515929754441,5200,0.8169598662853241
105,738783256,834282.5,-8342.825,0.9498865334535256,5250,0.574678339958191
106,477672498,1084192.5,-10841.924999999994,0.9494217064032453,5300,0.8772766721248627
107,132989972,1097520.0,-10975.199999999999,0.9489571117083964,5350,0.5347185957431794
108,68817599,827640.0,-8276.4,0.9484927492528304,5400,0.5262449884414673
109,985503601,1055217.5,-10552.175000000003,0.9480286189204564,5450,0.5193844026327133
110,938610673,647927.5,-6479.275,0.9475647205952421,5500,0.507499731183052
111,646703616,760722.5,-7607.224999999999,0.9471010541612127,5550,0.5122531425952911
112,999983684,819327.5,-8193.275,0.9466376195024516,5600,0.5017683881521225
113,598520044,784315.0,-7843.149999999998,0.9461744165031003,5650,0.5150127536058426
114,398592186,896275.0,-8962.75,0.9457114450473579,5700,0.4885894471406937
115,723211995,1044492.5,-10444.925000000001,0.9452487050194817,5750,0.4870298230648041
116,732100659,731195.0,-7311.949999999999,0.9447861963037864,5800,0.4700304400920868
117,73416733,1195600.0,-11956.000000000004,0.9443239187846452,5850,0.4804249858856201
118,381947970,900897.5,-9008.975,0.9438618723464883,5900,0.4692935800552368
119,901242693,850042.5,-8500.425,0.9434000568738045,5950,0.46649907529354095
120,599882380,613540.0,-6135.4,0.9429384722511395,6000,0.4611691522598267
121,853576314,924817.5,-9248.175,0.9424771183630974,6050,0.6837016421556473
122,676523488,1018982.5,-10189.824999999999,0.9420159950943399,6100,0.49759564161300657
123,934402713,852910.0,-8529.099999999999,0.9415551023295858,6150,0.49184900999069214
124,88999094,862480.0,-8624.8,0.9410944399536121,6200,0.4882154619693756
125,183654958,1018185.0,-10181.849999999999,0.9406340078512533,6250,0.47686370253562926
126,312676694,798077.5,-7980.775000000001,0.9401738059074012,6300,0.48063131153583527
127,650642348,952237.5,-9522.375,0.9397138340070053,6350,0.46070820033550264
128,234054415,1044547.5,-10445.475,0.9392540920350727,6400,0.4572549694776535
129,591194549,728795.0,-7287.949999999997,0.9387945798766679,6450,0.44438510954380034
130,541292390,863505.0,-8635.05,0.9383352974169129,6500,0.4324897801876068
131,15956784,671422.5,-6714.225,0.9378762445409871,6550,0.42586433827877046
132,450141143,869665.0,-8696.650000000001,0.9374174211341271,6600,0.4147650521993637
133,699988250,959247.5,-9592.475000000004,0.9369588270816273,6650,0.4116375720500946
134,26057602,934512.5,-9345.125000000004,0.9365004622688389,6700,0.3982084959745407
135,191891136,1037962.5,-10379.624999999998,0.9360423265811708,6750,0.389942883849144
136,369496933,691350.0,-6913.5,0.9355844199040892,6800,0.599200826883316
137,890975759,730517.5,-7305.175000000002,0.9351267421231174,6850,0.46395458877086637
138,460199580,780857.5,-7808.575000000002,0.9346692931238358,6900,0.44794159471988676
139,153201570,868180.0,-8681.800000000001,0.9342120727918823,6950,0.43352564990520476
140,906665569,938157.5,-9381.574999999999,0.9337550810129518,7000,0.41510835707187654
141,964003570,884500.0,-8845.0,0.9332983176727963,7050,0.4049049538373947
142,689279637,966657.5,-9666.575000000003,0.9328417826572248,7100,0.4029198455810547
143,515789933,711307.5,-7113.074999999999,0.932385475852104,7150,0.38255243241786957
144,238570376,672072.5,-6720.725000000002,0.9319293971433568,7200,0.36827001214027405
145,801900674,851490.0,-8514.9,0.9314735464169636,7250,0.36432994067668917
146,750394760,1092437.5,-10924.374999999998,0.9310179235589616,7300,0.35551339507102964
147,136070420,792222.5,-7922.225,0.9305625284554455,7350,0.34712402284145355
148,491471650,1081772.5,-10817.725,0.9301073609925661,7400,0.336532253921032
149,430980598,753332.5,-7533.325000000002,0.9296524210565318,7450,0.3299877914786339
150,498006901,821482.5,-8214.825,0.9291977085336075,7500,0.30873993039131165
151,593771116,958445.0,-9584.45,0.9287432233101149,7550,0.577120561003685
152,546499313,628765.0,-6287.650000000001,0.928288965272433,7600,0.4500408774614334
153,70982292,929330.0,-9293.300000000001,0.9278349343069971,7650,0.41062602162361145
154,577969775,678660.0,-6786.599999999999,0.9273811303002996,7700,0.38969177603721616
155,869583098,744632.5,-7446.324999999999,0.9269275531388893,7750,0.37719539046287537
156,685983670,551347.5,-5513.474999999999,0.9264742027093721,7800,0.3664645475149155
157,448694170,723197.5,-7231.974999999999,0.9260210788984102,7850,0.3474101376533508
158,535819856,840557.5,-8405.575,0.9255681815927228,7900,0.32982168793678285
159,736338334,848602.5,-8486.024999999998,0.9251155106790854,7950,0.32582867294549944
160,23498285,898520.0,-8985.200000000003,0.9246630660443305,8000,0.3303360745310783
161,151196124,964062.5,-9640.625000000002,0.9242108475753469,8050,0.3121065029501915
162,894796922,751452.5,-7514.525000000001,0.9237588551590797,8100,0.31665063589811326
163,649185566,695890.0,-6958.899999999999,0.9233070886825312,8150,0.301774982213974
164,872995251,754037.5,-7540.375000000001,0.9228555480327594,8200,0.29778506129980087
165,954912253,984027.5,-9840.274999999998,0.9224042330968794,8250,0.2961335343122482
166,498917285,916505.0,-9165.050000000001,0.9219531437620623,8300,0.6051022797822952
167,565244560,1126062.5,-11260.625000000004,0.9215022799155359,8350,0.43894294679164886
168,541725273,738205.0,-7382.050000000002,0.9210516414445842,8400,0.4233291184902191
169,107483631,1047220.0,-10472.2,0.9206012282365476,8450,0.3967233583331108
170,230012103,843967.5,-8439.675,0.9201510401788227,8500,0.3820974349975586
171,118052566,907847.5,-9078.475,0.9197010771588624,8550,0.37215444684028626
172,222058677,970065.0,-9700.65,0.9192513390641762,8600,0.3842232120037079
173,433259921,686272.5,-6862.725,0.9188018257823294,8650,0.3482120406627655
174,814707579,874940.0,-8749.400000000001,0.9183525372009438,8700,0.34648615777492525
175,114841100,1007495.0,-10074.950000000003,0.917903473207697,8750,0.3671620112657547
176,213689411,541960.0,-5419.599999999999,0.9174546336903234,8800,0.33658284157514573
177,623914263,969920.0,-9699.2,0.9170060185366128,8850,0.34005282938480375
178,244337481,902315.0,-9023.150000000001,0.9165576276344116,8900,0.34287787944078446
179,393145147,766062.5,-7660.625,0.9161094608716219,8950,0.3118424478173256
180,470394806,671890.0,-6718.899999999999,0.9156615181362021,9000,0.3197613418102264
181,730319811,712090.0,-7120.899999999996,0.9152137993161664,9050,0.634569203555584
182,266535238,958555.0,-9585.55,0.9147663042995853,9100,0.45186940908432005
183,645266121,1082827.5,-10828.275,0.9143190329745849,9150,0.404129690527916
184,653897631,708407.5,-7084.075000000003,0.9138719852293474,9200,0.44140377521514895
185,303178774,974250.0,-9742.5,0.9134251609521109,9250,0.3721535751223564
186,415882295,729667.5,-7296.674999999999,0.9129785600311693,9300,0.39741734325885775
187,732419652,742742.5,-7427.425,0.9125321823548723,9350,0.36881579518318175
188,621969639,721640.0,-7216.4,0.9120860278116255,9400,0.38392001688480376
189,541456996,684277.5,-6842.775,0.9116400962898904,9450,0.37885021686553955
190,880781138,1170077.5,-11700.775,0.9111943876781841,9500,0.39760465919971466
191,525405881,687917.5,-6879.175000000001,0.9107489018650792,9550,0.36001891881227494
192,802728449,648590.0,-6485.9000000000015,0.9103036387392044,9600,0.3810935777425766
193,370908663,679645.0,-6796.45,0.9098585981892439,9650,0.3711622953414917
194,436559295,699820.0,-6998.199999999999,0.9094137801039377,9700,0.37667594879865646
195,172495161,726437.5,-7264.374999999999,0.9089691843720811,9750,0.35129989087581637
196,347088712,876837.5,-8768.375,0.9085248108825252,9800,0.5831212261319161
197,188310405,795447.5,-7954.475,0.9080806595241767,9850,0.45272999584674833
198,844647743,667487.5,-6674.874999999999,0.9076367301859978,9900,0.42628319025039674
199,258188954,668252.5,-6682.524999999998,0.9071930227570059,9950,0.4095795547962189
200,944456660,993550.0,-9935.499999999998,0.9067495371262743,10000,0.4297246366739273
201,135437441,685855.0,-6858.550000000001,0.9063062731829318,10050,0.40708013594150544
202,472289381,692152.5,-6921.524999999999,0.9058632308161619,10100,0.39914931148290633
203,810853502,910080.0,-9100.800000000001,0.9054204099152046,10150,0.4201986539363861
204,805816003,573907.5,-5739.075000000002,0.9049778103693542,10200,0.3959227031469345
205,727242440,1161550.0,-11615.5,0.904535432067961,10250,0.420543939769268
206,577786404,905625.0,-9056.250000000002,0.9040932749004306,10300,0.39690597414970397
207,963701015,753835.0,-7538.349999999999,0.9036513387562235,10350,0.40133328109979627
208,165626888,916510.0,-9165.100000000002,0.9032096235248557,10400,0.42275524079799653
209,502029879,725822.5,-7258.224999999999,0.9027681290958982,10450,0.40742560267448424
210,1139808,725937.5,-7259.374999999999,0.9023268553589777,10500,0.4200617307424545
211,710502143,1078787.5,-10787.875000000002,0.9018858022037756,10550,0.6222789788246155
212,113047536,1014397.5,-10143.975,0.9014449695200287,10600,0.46012929290533067
213,224482167,911137.5,-9111.375,0.9010043571975287,10650,0.44264160126447677
