episode,episode_cost,epsilon
1,921370.0,0.996
2,1077920.0,0.992016
3,828170.0,0.988047936
4,923595.0,0.984095744256
5,784727.5,0.980159361278976
6,719067.5,0.97623872383386
7,817202.5,0.9723337689385245
8,1269772.5,0.9684444338627705
9,743210.0,0.9645706561273194
10,1129365.0,0.9607123735028101
11,815467.5,0.9568695240087989
12,958455.0,0.9530420459127636
13,765620.0,0.9492298777291126
14,889747.5,0.9454329582181962
15,760945.0,0.9416512263853234
16,1085435.0,0.9378846214797821
17,1043320.0,0.934133082993863
18,862682.5,0.9303965506618875
19,1154610.0,0.92667496445924
20,969795.0,0.922968264601403
21,960237.5,0.9192763915429975
22,1080112.5,0.9155992859768255
23,799965.0,0.9119368888329182
24,1372725.0,0.9082891412775865
25,1097802.5,0.9046559847124762
26,1031562.5,0.9010373607736263
27,1037800.0,0.8974332113305318
28,904970.0,0.8938434784852096
29,1076377.5,0.8902681045712688
30,1050510.0,0.8867070321529837
31,1200745.0,0.8831602040243718
32,814410.0,0.8796275632082743
33,721312.5,0.8761090529554412
34,636225.0,0.8726046167436194
35,836295.0,0.8691141982766449
36,865157.5,0.8656377414835383
37,1095900.0,0.8621751905176042
38,994262.5,0.8587264897555338
39,781870.0,0.8552915837965116
40,979885.0,0.8518704174613255
41,1014455.0,0.8484629357914802
42,1109480.0,0.8450690840483143
43,1032447.5,0.841688807712121
44,997255.0,0.8383220524812725
45,1101175.0,0.8349687642713474
46,1048717.5,0.8316288892142619
47,1123997.5,0.8283023736574049
48,1034865.0,0.8249891641627752
49,680717.5,0.8216892075061242
50,901762.5,0.8184024506760996
51,1020317.5,0.8151288408733952
52,770610.0,0.8118683255099016
53,909322.5,0.8086208522078621
54,1284717.5,0.8053863687990306
55,1248910.0,0.8021648233238344
56,958277.5,0.798956164030539
57,1053140.0,0.7957603393744169
58,1003350.0,0.7925772980169192
59,1207902.5,0.7894069888248515
60,1265652.5,0.7862493608695521
61,795437.5,0.7831043634260739
