episode,episode_cost,episode_reward,epsilon,mean_loss,global_step
1,816690.0,-8166.9,0.9989661185487222,,50
2,1030357.5,-10303.574999999999,0.9979122973149935,,100
3,772575.0,-7725.75,0.9968596463434807,,150
4,991545.0,-9915.450000000004,0.9958081643346144,,200
5,963140.0,-9631.400000000001,0.9947578499902687,,250
6,1382522.5,-13825.224999999995,0.993708702013759,,300
7,953502.5,-9535.025,0.9926607191098409,,350
8,1076820.0,-10768.199999999999,0.9916138999847082,,400
9,991257.5,-9912.574999999999,0.990568243345991,,450
10,983917.5,-9839.175,0.9895237479027558,,500
11,952887.5,-9528.874999999998,0.9884804123655013,,550
12,888260.0,-8882.6,0.987438235446159,,600
13,780395.0,-7803.949999999999,0.9863972158580908,,650
14,634147.5,-6341.475000000001,0.985357352316087,,700
15,1061535.0,-10615.35,0.9843186435363654,,750
16,897675.0,-8976.750000000002,0.9832810882365692,,800
17,769595.0,-7695.949999999999,0.982244685135766,,850
18,904535.0,-9045.35,0.9812094329544455,,900
19,930905.0,-9309.049999999996,0.9801753304145185,,950
20,830817.5,-8308.175000000003,0.9791423762393152,,1000
21,1148357.5,-11483.575,0.9781105691535833,,1050
22,854310.0,-8543.100000000002,0.9770799078834866,,1100
23,962532.5,-9625.325,0.976050391156604,,1150
24,868457.5,-8684.574999999999,0.9750220177019268,,1200
25,1041135.0,-10411.350000000002,0.973994786249858,,1250
26,810947.5,-8109.474999999999,0.9729686955322107,,1300
27,900402.5,-9004.025,0.9719437442822059,,1350
28,918550.0,-9185.5,0.9709199312344715,,1400
29,973587.5,-9735.874999999996,0.969897255125041,,1450
30,891735.0,-8917.35,0.9688757146913508,,1500
31,1089435.0,-10894.35,0.96785530867224,,1550
32,890722.5,-8907.225,0.9668360358079479,,1600
33,737235.0,-7372.35,0.9658178948401126,,1650
34,879142.5,-8791.425000000001,0.9648008845117699,,1700
35,1117642.5,-11176.424999999997,0.9637850035673516,,1750
36,1071287.5,-10712.874999999996,0.9627702507526834,,1800
37,998932.5,-9989.324999999999,0.9617566248149839,,1850
38,787257.5,-7872.575000000002,0.960744124502863,,1900
39,806362.5,-8063.625,0.95973274856632,,1950
40,856075.0,-8560.75,0.9587224957567426,172.34217834472656,2000
41,773755.0,-7737.550000000002,0.957713364826905,179.33133087158203,2050
42,1110130.0,-11101.300000000003,0.9567053545309665,147.2546058654785,2100
43,993027.5,-9930.275,0.9556984636244698,108.92443069458008,2150
44,1040395.0,-10403.95,0.9546926908643394,87.91727798461915,2200
45,990742.5,-9907.425000000001,0.9536880350088807,78.17113899230957,2250
46,1051472.5,-10514.725000000002,0.9526844948177773,66.78841346740722,2300
47,1064025.0,-10640.249999999998,0.951682069052091,54.74585952758789,2350
48,1031800.0,-10317.999999999998,0.9506807564742588,47.16624717712402,2400
49,1271157.5,-12711.574999999999,0.9496805558480921,41.998917999267576,2450
50,825667.5,-8256.675,0.9486814659387753,39.67196250915527,2500
51,985592.5,-9855.925000000001,0.9476834855128639,36.91517471313477,2550
52,915445.0,-9154.449999999999,0.9466866133382833,34.94647285461426,2600
53,1141202.5,-11412.024999999998,0.9456908481843268,34.048360404968264,2650
54,878345.0,-8783.450000000003,0.9446961888216546,32.37285385131836,2700
55,1203570.0,-12035.7,0.9437026340222923,31.661208839416503,2750
56,790385.0,-7903.849999999999,0.9427101825596286,30.570378379821776,2800
57,829302.5,-8293.025,0.9417188332084148,31.332945556640624,2850
58,783767.5,-7837.675,0.9407285847447626,29.47192512512207,2900
59,897277.5,-8972.775000000001,0.9397394359461432,28.53672401428223,2950
60,844290.0,-8442.9,0.9387513855913846,27.844674530029298,3000
61,959800.0,-9598.0,0.9377644324606719,94.60952850341796,3050
62,818857.5,-8188.575000000001,0.936778575335544,58.25357627868652,3100
63,863027.5,-8630.275,0.9357938129988934,47.70584503173828,3150
64,837225.0,-8372.249999999998,0.934810144234964,43.073584747314456,3200
65,763745.0,-7637.450000000002,0.9338275678293497,42.28617835998535,3250
66,847665.0,-8476.65,0.9328460825689932,40.43836753845215,3300
67,566415.0,-5664.150000000001,0.931865687242184,39.46364585876465,3350
68,1022447.5,-10224.474999999999,0.9308863806385576,40.41442588806152,3400
69,880917.5,-8809.174999999997,0.9299081615490931,38.8144633102417,3450
70,768827.5,-7688.275,0.9289310287661127,38.615857963562014,3500
71,783450.0,-7834.499999999999,0.9279549810832795,37.66836200714111,3550
72,914237.5,-9142.375,0.9269800172955961,37.08914752960205,3600
73,1001935.0,-10019.349999999995,0.9260061361994035,37.02171714782715,3650
74,913350.0,-9133.500000000002,0.9250333365923792,36.150402565002445,3700
75,915840.0,-9158.399999999998,0.924061617273536,36.158432235717775,3750
76,618527.5,-6185.275000000001,0.9230909770432201,36.313580665588375,3800
77,653547.5,-6535.475000000002,0.9221214147031102,34.63300868988037,3850
78,999705.0,-9997.050000000001,0.9211529290562157,35.53863468170166,3900
79,958155.0,-9581.550000000001,0.9201855189068752,35.28983165740967,3950
80,1074185.0,-10741.85,0.9192191830607549,34.530537071228025,4000
