episode,episode_cost,episode_reward,epsilon,mean_loss,global_step
1,720950.0,-7209.499999999999,0.9989661185487222,,50
2,1000985.0,-10009.85,0.9979122973149935,,100
3,709377.5,-7093.775,0.9968596463434807,,150
4,1058140.0,-10581.4,0.9958081643346144,,200
5,780907.5,-7809.075,0.9947578499902687,,250
6,1036137.5,-10361.375000000002,0.993708702013759,,300
7,817152.5,-8171.525,0.9926607191098409,,350
8,878425.0,-8784.25,0.9916138999847082,,400
9,939407.5,-9394.074999999997,0.990568243345991,,450
10,839650.0,-8396.5,0.9895237479027558,,500
11,798050.0,-7980.499999999999,0.9884804123655013,,550
12,969827.5,-9698.275,0.987438235446159,,600
13,1079930.0,-10799.3,0.9863972158580908,,650
14,763462.5,-7634.625,0.985357352316087,,700
15,776830.0,-7768.2999999999965,0.9843186435363654,,750
16,838695.0,-8386.949999999999,0.9832810882365692,,800
17,1035870.0,-10358.7,0.982244685135766,,850
18,869345.0,-8693.449999999999,0.9812094329544455,,900
19,917260.0,-9172.599999999997,0.9801753304145185,,950
20,758795.0,-7587.949999999998,0.9791423762393152,,1000
21,1124455.0,-11244.550000000001,0.9781105691535833,,1050
22,807675.0,-8076.75,0.9770799078834866,,1100
23,776897.5,-7768.975,0.976050391156604,,1150
24,710262.5,-7102.624999999999,0.9750220177019268,,1200
25,605835.0,-6058.349999999999,0.973994786249858,,1250
26,613922.5,-6139.2249999999985,0.9729686955322107,,1300
27,1042807.5,-10428.075000000003,0.9719437442822059,,1350
28,903422.5,-9034.225,0.9709199312344715,,1400
29,1126725.0,-11267.249999999996,0.969897255125041,,1450
30,786577.5,-7865.774999999999,0.9688757146913508,,1500
31,878735.0,-8787.35,0.96785530867224,,1550
32,1142507.5,-11425.075000000003,0.9668360358079479,,1600
33,911745.0,-9117.449999999999,0.9658178948401126,,1650
34,714510.0,-7145.1,0.9648008845117699,,1700
35,849057.5,-8490.575,0.9637850035673516,,1750
36,856355.0,-8563.55,0.9627702507526834,,1800
37,985392.5,-9853.925000000003,0.9617566248149839,,1850
38,742250.0,-7422.499999999999,0.960744124502863,,1900
39,847812.5,-8478.124999999998,0.95973274856632,,1950
40,883342.5,-8833.425000000001,0.9587224957567426,164.47909545898438,2000
41,853332.5,-8533.324999999997,0.957713364826905,168.4795358276367,2050
42,704195.0,-7041.950000000001,0.9567053545309665,141.43117874145508,2100
43,1025277.5,-10252.775,0.9556984636244698,105.07925994873047,2150
44,925685.0,-9256.850000000002,0.9546926908643394,87.85559463500977,2200
45,858730.0,-8587.300000000001,0.9536880350088807,78.14642868041992,2250
46,935257.5,-9352.575,0.9526844948177773,63.40039817810059,2300
47,803675.0,-8036.75,0.951682069052091,51.218596649169925,2350
48,887817.5,-8878.175000000001,0.9506807564742588,41.569591979980466,2400
49,917622.5,-9176.225000000002,0.9496805558480921,35.98400611877442,2450
50,873042.5,-8730.425,0.9486814659387753,32.53197605133057,2500
51,906605.0,-9066.050000000001,0.9476834855128639,31.491495628356933,2550
52,1057195.0,-10571.949999999995,0.9466866133382833,30.030659484863282,2600
53,823670.0,-8236.699999999999,0.9456908481843268,28.636497650146485,2650
54,998770.0,-9987.700000000003,0.9446961888216546,28.588322677612304,2700
55,1265867.5,-12658.675000000005,0.9437026340222923,27.969640846252442,2750
56,619787.5,-6197.875,0.9427101825596286,27.42278308868408,2800
57,952455.0,-9524.550000000001,0.9417188332084148,26.398190269470216,2850
58,703675.0,-7036.75,0.9407285847447626,25.121940956115722,2900
59,947820.0,-9478.200000000003,0.9397394359461432,25.214281997680665,2950
60,757832.5,-7578.325,0.9387513855913846,24.395608291625976,3000
61,1034352.5,-10343.525,0.9377644324606719,94.0443832397461,3050
62,780437.5,-7804.374999999999,0.936778575335544,61.20814109802246,3100
