episode,worker,episode_cost,loss
1,0,715390.0,7587311.5
2,1,814695.0,9286093.0
3,2,1111310.0,19342032.0
4,3,991120.0,15016711.0
5,0,596467.5,4678996.5
6,1,916360.0,12785820.0
7,2,800002.5,8560312.0
8,3,870967.5,10733340.0
9,0,1027215.0,16330469.0
10,1,846795.0,10253845.0
11,2,742802.5,9149064.0
12,3,999967.5,14299914.0
13,0,912525.0,13134894.0
14,1,914330.0,11465246.0
15,2,831067.5,9054795.0
16,3,786492.5,8419114.0
17,0,1116340.0,17874560.0
18,1,803027.5,8344461.5
19,2,1053407.5,16313798.0
20,3,722352.5,7556796.5
21,0,907300.0,11133199.0
22,1,1092562.5,19642406.0
23,2,735935.0,8181007.0
24,3,893190.0,10171866.0
25,0,943562.5,15023091.0
26,1,800185.0,8619101.0
27,2,649545.0,6318466.5
28,3,887462.5,10387739.0
29,0,805975.0,7625389.5
30,1,674357.5,5728093.5
31,2,831805.0,10491746.0
32,3,763522.5,9148894.0
33,0,882645.0,10124461.0
34,1,764540.0,8770333.0
35,2,881837.5,12054152.0
36,3,729565.0,8506761.0
37,0,859255.0,10760639.0
38,1,565835.0,5157053.0
39,2,827257.5,9151892.0
40,3,1036577.5,16468824.0
41,0,803712.5,9133952.0
42,1,770035.0,8041010.5
43,2,895857.5,11039262.0
44,3,760110.0,8276305.0
45,0,713657.5,6922727.5
46,1,910980.0,14448355.0
47,2,643927.5,5402611.0
48,3,777287.5,9096288.0
49,0,789035.0,9952946.0
50,1,657497.5,6199130.5
51,2,728882.5,7369529.5
52,3,866137.5,11051536.0
53,0,979295.0,12857647.0
54,1,906950.0,12156534.0
55,2,939752.5,13082898.0
56,3,734587.5,9114564.0
57,0,1184777.5,20526546.0
58,1,800212.5,8378851.5
59,2,1117005.0,18384878.0
60,3,888602.5,10126828.0
61,0,885077.5,11212414.0
62,1,670865.0,5863705.0
63,2,1401195.0,30020958.0
64,3,943330.0,11489976.0
65,0,787527.5,9441739.0
66,1,1169470.0,21383494.0
67,2,1025490.0,14562846.0
68,3,841435.0,9785133.0
69,0,884875.0,11389638.0
70,1,869507.5,10771251.0
71,2,1009177.5,14876860.0
72,3,1089640.0,16076859.0
73,0,912537.5,11913163.0
74,1,929757.5,11827706.0
75,2,887287.5,10176347.0
76,3,1263745.0,22157244.0
77,0,832432.5,10748349.0
78,1,853382.5,10608035.0
79,2,912670.0,10962877.0
80,3,665322.5,6737189.0
81,0,809840.0,9267282.0
82,1,990852.5,16479009.0
83,2,750005.0,8064515.0
84,3,1044685.0,18172948.0
85,0,716422.5,8203501.0
86,1,917487.5,10428312.0
87,2,1155960.0,17800344.0
88,3,1012817.5,16381680.0
89,0,699835.0,6866403.0
90,1,920432.5,13203964.0
91,2,783055.0,9175832.0
92,3,881185.0,9063115.0
93,0,1009530.0,14410425.0
94,1,819107.5,10589359.0
95,2,881627.5,11873698.0
96,3,816207.5,9137345.0
97,0,863620.0,11074078.0
98,1,1094600.0,19800696.0
99,2,761805.0,9146447.0
100,3,917252.5,10615232.0
101,0,945465.0,13538666.0
102,1,828575.0,9369464.0
103,2,1031312.5,13894477.0
104,3,827267.5,10466451.0
105,0,764472.5,8728446.0
106,1,998460.0,14822830.0
107,2,460565.0,3401689.25
108,3,672330.0,5416201.5
109,0,798837.5,9550487.0
110,1,1292007.5,27346964.0
111,2,989575.0,13007778.0
112,3,731770.0,8764566.0
113,0,813725.0,9423012.0
114,1,871657.5,12629715.0
115,2,826895.0,9077324.0
116,3,1046825.0,14481334.0
117,0,751255.0,9190894.0
118,1,854145.0,10748604.0
119,2,1077717.5,18853688.0
120,3,1237482.5,24570142.0
121,0,785815.0,9016950.0
122,1,995877.5,13616273.0
123,2,1069047.5,16045027.0
124,3,855362.5,10173778.0
125,0,741825.0,7792059.0
126,1,605490.0,5457356.0
127,2,1019005.0,15427083.0
128,3,846855.0,9489957.0
129,0,779317.5,8541453.0
130,1,932625.0,11020003.0
131,2,1138630.0,21436064.0
132,3,710152.5,7200018.5
133,0,667755.0,6412079.0
134,1,762272.5,9806679.0
135,2,755550.0,7393449.0
136,3,702490.0,7462611.0
137,0,681125.0,7270269.0
138,1,746140.0,6941124.0
139,2,684780.0,6490170.5
140,3,846417.5,10481662.0
141,0,890950.0,11969562.0
142,1,724667.5,7314192.5
143,2,858047.5,8978267.0
144,3,815772.5,9890089.0
145,0,722060.0,7447432.0
146,1,944265.0,11567100.0
147,2,762950.0,9409319.0
148,3,925155.0,13089399.0
149,0,866522.5,10413479.0
150,1,797150.0,9307410.0
151,2,744985.0,7411511.0
152,3,895170.0,11882552.0
153,0,755537.5,6661114.5
154,1,783290.0,9446601.0
155,2,891247.5,11494690.0
156,3,808415.0,8699056.0
157,0,840127.5,10174865.0
158,1,759015.0,7641858.0
159,2,606455.0,5670453.5
160,3,717397.5,6649023.0
161,0,928755.0,15428179.0
162,1,843687.5,9577851.0
163,2,785067.5,9509568.0
164,3,893270.0,12085859.0
165,0,897095.0,12472395.0
166,1,775852.5,7899690.0
167,2,863152.5,10623824.0
168,3,669035.0,6677231.0
169,0,730642.5,7941155.5
170,1,829732.5,10195971.0
171,2,752322.5,7987266.5
172,3,772732.5,8682849.0
173,0,938732.5,12534244.0
174,1,694235.0,7716011.5
175,2,714187.5,7394492.0
176,3,871210.0,10772169.0
177,0,818257.5,9943349.0
178,1,692675.0,6320486.5
179,2,749867.5,8722612.0
180,3,881872.5,10817508.0
181,0,594240.0,5345647.0
182,1,814755.0,9025404.0
183,2,674927.5,7097301.5
184,3,814227.5,10425688.0
185,0,924472.5,13422631.0
186,1,648675.0,5324067.5
187,2,738172.5,7777310.5
188,3,571060.0,5088110.0
189,0,815850.0,8752085.0
190,1,614415.0,5678648.0
191,2,668357.5,5631104.0
192,3,753967.5,8405487.0
193,0,815340.0,10040862.0
194,1,745790.0,7788312.5
195,2,833690.0,10608072.0
196,3,895615.0,11993908.0
197,0,887325.0,11001445.0
198,1,1027482.5,14406655.0
199,2,765022.5,8106164.5
200,3,728527.5,7023054.0
201,0,486097.5,3587968.5
202,1,582735.0,5496234.0
203,2,739260.0,7880973.5
204,3,907237.5,11954365.0
205,0,629880.0,6087353.0
206,1,683515.0,5369977.0
207,2,686405.0,7092187.0
208,3,761080.0,8909224.0
209,0,936537.5,12593981.0
210,1,1049460.0,16040229.0
211,2,798322.5,9062825.0
212,3,790480.0,10494699.0
213,0,599492.5,5446704.5
214,1,535072.5,4892330.0
215,2,685000.0,5365106.5
216,3,814630.0,9172472.0
217,0,752630.0,8319120.0
218,1,606652.5,5421212.5
219,2,745487.5,7416137.0
220,3,714707.5,7527590.0
221,0,578455.0,4913765.0
222,1,672222.5,5886347.0
223,2,363775.0,1721496.125
224,3,709375.0,6335498.0
225,0,755727.5,8374880.5
226,1,725815.0,9507776.0
227,2,708882.5,7541273.5
228,3,859627.5,12025254.0
229,0,695602.5,6398386.5
230,1,654160.0,6052818.0
231,2,633972.5,6236643.5
232,3,649172.5,6720991.0
233,0,861027.5,9886421.0
234,1,1051040.0,16012379.0
235,2,997142.5,16032224.0
236,3,628772.5,5523359.0
237,0,856647.5,10389029.0
238,1,770747.5,8800129.0
239,2,563732.5,4474121.5
240,3,634722.5,5472102.0
241,0,718082.5,7039052.5
242,1,720645.0,8871767.0
243,2,961460.0,12505855.0
244,3,537800.0,4117108.25
245,0,634472.5,5714942.0
246,1,946950.0,10954141.0
247,2,473537.5,3717212.25
248,3,577900.0,4438706.5
249,0,630242.5,5108014.5
250,1,779182.5,9067913.0
251,2,698490.0,6726856.0
252,3,761737.5,8345331.5
253,0,728892.5,6902612.0
254,1,552575.0,4269954.5
255,2,609670.0,5729496.5
256,3,664122.5,5879613.5
257,0,519335.0,4297791.5
258,1,658975.0,6689550.0
259,2,737415.0,7505047.0
260,3,873530.0,10793168.0
261,0,587427.5,4539479.0
262,1,699567.5,7031627.5
263,2,527120.0,4333447.5
264,3,641640.0,5926127.5
265,0,675715.0,5750647.0
266,1,933580.0,15236268.0
267,2,549210.0,4352383.5
268,3,698167.5,7284457.5
269,0,630255.0,6389273.5
270,1,879802.5,13082652.0
271,2,542380.0,4139005.25
272,3,591327.5,4535046.5
273,0,748432.5,8980651.0
274,1,599665.0,5097795.0
275,2,761977.5,8986664.0
276,3,611180.0,5048000.5
277,0,775780.0,8519973.0
278,1,601747.5,5734127.5
279,2,653372.5,6728211.5
280,3,623697.5,5485934.0
281,0,847965.0,10670844.0
282,1,479675.0,3309863.25
283,2,620635.0,5506126.0
284,3,646897.5,6414654.0
285,0,568717.5,4940299.0
286,1,765087.5,9153196.0
287,2,556967.5,3688173.5
288,3,667985.0,6211261.0
289,0,630977.5,6111174.5
290,1,678697.5,6871022.0
291,2,638360.0,5812941.5
292,3,715232.5,7630213.5
293,0,877540.0,12310687.0
294,1,1030200.0,14775652.0
295,2,707860.0,7232125.5
296,3,875370.0,12252469.0
297,0,600992.5,5572662.5
298,1,917987.5,12209602.0
299,2,536087.5,3537050.5
300,3,646875.0,5721281.0
301,0,514335.0,3649562.25
302,1,626465.0,5466338.0
303,2,793495.0,9417130.0
304,3,474977.5,3244482.0
305,0,558530.0,5023645.5
306,1,697462.5,8318165.0
307,2,754952.5,8154969.0
308,3,573255.0,4140982.5
309,0,698920.0,7635744.5
310,1,647722.5,5408948.0
311,2,687825.0,6743403.0
312,3,974960.0,15452715.0
313,0,547207.5,4024663.75
314,1,836022.5,10616265.0
315,2,792445.0,8013731.0
316,3,769430.0,9121137.0
317,0,640195.0,6987811.5
318,1,782440.0,7879425.5
319,2,805157.5,8517892.0
320,3,658910.0,6464118.0
321,0,768235.0,9371877.0
322,1,560982.5,4307473.5
323,2,519635.0,4216421.5
324,3,702422.5,7329880.5
325,0,770772.5,9023566.0
326,1,778925.0,9505655.0
327,2,497247.5,3141040.25
328,3,443032.5,2773540.5
329,0,664595.0,7551844.5
330,1,725850.0,7269963.5
331,2,654370.0,5910183.5
332,3,653297.5,5608927.5
333,0,810052.5,10823174.0
334,1,801725.0,10438087.0
335,2,738042.5,8349665.0
336,3,727220.0,7855109.5
337,0,622987.5,5237437.0
338,1,736817.5,8061017.5
339,2,768467.5,8369171.5
340,3,679852.5,6579850.5
341,0,737840.0,8294293.5
342,1,584927.5,4774220.5
343,2,791587.5,7931189.5
344,3,778752.5,10072233.0
345,0,695850.0,7021889.5
346,1,655105.0,5553188.0
347,2,488405.0,3615287.25
348,3,729860.0,8605046.0
349,0,711550.0,7760209.0
350,1,546617.5,4707341.5
351,2,464292.5,3035346.0
352,3,706880.0,6316655.5
353,0,925677.5,11841282.0
354,1,608830.0,4339418.0
355,2,763402.5,7064566.0
356,3,800620.0,8967224.0
357,0,653682.5,5072689.0
358,1,733545.0,7578834.0
359,2,956720.0,13146378.0
360,3,600495.0,5108792.0
361,0,631047.5,5509165.5
362,1,724030.0,7536755.0
363,2,749682.5,7939017.5
364,3,613792.5,6429454.0
365,0,802327.5,7229557.0
366,1,832020.0,9731482.0
367,2,640905.0,6711591.0
368,3,882612.5,10374308.0
369,0,780807.5,9485070.0
370,1,611887.5,5031433.0
371,2,739542.5,8763724.0
372,3,655535.0,4767543.5
373,0,559172.5,4482606.0
374,1,591200.0,4240172.0
375,2,446797.5,2906385.5
376,3,573252.5,4127024.25
377,0,628880.0,5529142.0
378,1,911762.5,12263186.0
379,2,849945.0,10842004.0
380,3,583502.5,4469591.5
381,0,984367.5,15029400.0
382,1,609275.0,5068687.0
383,2,665152.5,6319184.0
384,3,592782.5,4688608.5
385,0,547855.0,3971272.0
386,1,757797.5,7855641.0
387,2,676972.5,6911023.5
388,3,508607.5,3884460.0
389,0,844057.5,10395767.0
390,1,606370.0,5956037.0
391,2,577382.5,4748494.5
392,3,564060.0,4093029.5
393,0,604480.0,6049777.0
394,1,694527.5,7414662.5
395,2,826265.0,8556021.0
396,3,669372.5,6784761.0
397,0,696507.5,6414979.5
398,1,577252.5,4677640.5
399,2,664912.5,6610323.0
400,3,716772.5,7604859.5
401,0,674017.5,7729022.0
402,1,544412.5,4328601.5
403,2,708795.0,7843550.0
404,3,501262.5,4077887.75
405,0,761027.5,7723715.0
406,1,523827.5,4922828.5
407,2,578630.0,4481167.0
408,3,823565.0,8847444.0
409,0,697355.0,6005708.5
410,1,555190.0,5385570.5
411,2,562435.0,4509099.5
412,3,590645.0,5136234.5
413,0,585667.5,5144015.0
414,1,724405.0,7049128.0
415,2,525552.5,3657592.5
416,3,652640.0,5506710.5
417,0,592955.0,4668704.5
418,1,602275.0,5187980.0
419,2,791972.5,8900914.0
